week_number,area_reported,cases_reported
39,Hambantota,0
39,Matara,0
39,Jaffna,2
39,Kilinochchi,0
39,Mannar,0
39,Vavuniya,0
39,Mullaitivu,0
39,Batticaloa,1
39,Ampara,0
39,Trincomalee,0
39,Kurunegala,0
39,Puttalam,1
39,Anuradhapura,0
39,Polonnaruwa,0
39,Badulla,1
39,Moneragala,1
39,Ratnapura,4
39,Kegalle,1
39,Kalmunai,4
